iter	Passed	Remaining
0	156	156400
1	162	80975
2	167	55545
3	171	42600
4	174	34818
5	179	29673
6	182	25902
7	187	23264
8	191	21131
9	195	19384
10	200	18021
11	204	16860
12	210	15957
13	214	15117
14	219	14420
15	224	13835
16	230	13309
17	233	12751
18	238	12337
19	243	11942
20	248	11563
21	251	11188
22	255	10868
23	259	10546
24	263	10287
25	267	10024
26	271	9782
27	275	9566
28	279	9349
29	283	9160
30	287	8977
31	291	8803
32	294	8643
33	298	8482
34	300	8298
35	304	8155
36	308	8035
37	312	7905
38	315	7785
39	319	7669
40	323	7561
41	327	7469
42	331	7366
43	334	7269
44	338	7185
45	340	7068
46	344	6983
47	348	6903
48	351	6831
49	355	6757
50	359	6689
51	363	6619
52	366	6550
53	368	6456
54	372	6391
55	375	6330
56	379	6271
57	382	6212
58	386	6160
59	389	6108
60	393	6058
61	397	6011
62	401	5964
63	404	5917
64	408	5881
65	412	5840
66	416	5800
67	420	5769
68	425	5735
69	429	5700
70	433	5671
71	437	5634
72	440	5598
